,Titulo,Fecha,Autor,Volanta
0,"Un fallo amarillo, la respuesta del Gobierno",2021-05-05,Por Mario Wainfeld,
1,Clases presenciales: Las claves y los alcances de la decisión de la Corte,2021-05-05,Por Irina Hauser,Un fallo de los sanitaristas supremos de la Nación
2,El festejo silencioso de Larreta tras el fallo de la Corte,2021-05-05,Por Werner Pertot,En la jefatura de gobierno apuestan a capitalizar electoralmente la decisión del máximo tribunal
3,Cristina Kirchner pidió la nulidad de la causa por el Memorándum con Irán ,2021-05-05,Por Raúl Kollmann,Una presentación que deja al descubierto el lawfare
4,No judiciable,2021-05-05,,"La Corte, la Constitución y las autonomías"
5,Confirman la condena por corrupción contra el exjuez Carlos Liporace,2021-05-05,,La Corte Suprema ratificó la pena de cuatro años de prisión
6,"El Consejo Federal de Educación acordó cuándo, cómo y dónde suspender las clases presenciales",2021-05-05,,Sólo votaron en contra los ministros de CABA y Mendoza
7,Clases presenciales: Qué pasa con las familias que piden virtualidad por razones de cuidado,2021-05-05,Por Karina Micheletto,Tras el fallo de la Corte
8,Coronavirus: principio de acuerdo para la producción local de Sinopharm,2021-05-05,,Lo anunció la embajada china en Argentina
9,El fallo de la Corte no levantó los paros de los maestros porteños,2021-05-05,Por María Cafferata,"UTE, Ademys y Sadop ratificaron la continuidad de las medidas de fuerza"
10,En busca de una ley que avale las restricciones,2021-05-05,Por Melisa Molina,"Tras el fallo de la Corte a favor de CABA, el Ejecutivo recurrirá al Congreso "
11,"AUH, jubilados y pensionados: el calendario de pagos completo de la ANSES en mayo 2021  ",2021-05-05,,Todas las fechas de cobro
12,Créditos a pymes,2021-05-05,,Acuerdo PAE-Garantizar
13,Los 600 anuncios de inversión ,2021-05-05,,Desde que asumió Fernández hubo desembolsos por 28 mil millones de dólares
14,Fiebre especulativa con las criptomonedas,2021-05-05,,Ethereum operó por encima de los 3500 dólares
15,Más dólares para el Banco Central,2021-05-05,,En un sólo día compró 150 millones
16,"Vicentin: ""No fue estrés, fue estafa""",2021-05-05,Por Raúl Dellatorre,"La intervención, una oportunidad perdida, según el Centro de Estudios Agrícolas"
17,Firme repunte de la recaudación tributaria,2021-05-05,,Ocho meses consecutivos de aumento de ingresos fiscales
18,Persianas bajas en el paisaje porteño,2021-05-05,,Más comercios cerrados en la Ciudad 
19,"El Presidente, el ministro y el Papa",2021-05-05,,Fernández sube a Guzmán al avión en una mini gira europea
20,"Cannabis, un mercado a conquistar",2021-05-05,,"Jujuy, La Rioja, Misiones, San Juan y Mendoza avanzan con proyectos "
21,Multas inéditas por contaminación,2021-05-05,Por Natalí Risso,El gobierno bonaerense impuso sanciones a 26 empresas
22,Efemérides de hoy: qué pasó un 5 de mayo ,2021-05-05,,Hechos que ocurrieron en la Argentina y el mundo                        
23,Cómo fue el rescate de los andinistas en el Plata,2021-05-05,,El guía de montaña Juan Cruz Rodríguez cuenta cómo los halló mientras hacía un ascenso en solitario por la cara más difícil
24,Lo que un esposo no puede: el caso de la demanda para evitar una IVE,2021-05-05,Por Mariana Carbajal,
25,Qué está en juego con el divorcio de Bill y Melinda Gates,2021-05-05,,Las incógnitas sobre cómo gestionarán sus actividades y su patrimonio
26,La Untref apartó preventivamente al coordinador de una carrera denunciado por acoso,2021-05-05,,Mariano Sardón también está acusado de realizar despidos arbitrarios
27,El asma no incrementa el riesgo de covid excepto en dos casos,2021-05-05,,La aclaración de los especialistas y su recomendación sobre las vacunas
28,"Violencia de género: se reunió por primera vez el Consejo Federal, con la presencia de tres ministres nacionales",2021-05-05,Por Mariana Carbajal,El encuentro tuvo lugar en Tucumán y buscó coordinar políticas en el NOA
29,"Una empresa financiada por Bill Gates busca controlar el dengue con mosquitos ""autodestructivos""",2021-05-05,,Los insectos modificados genéticamente fueron liberados en Florida
30,Coronavirus en Argentina: se registraron 26.238 casos y 412 muertes    ,2021-05-05,,Segunda ola
31,En la Ciudad de Buenos Aires sólo quedan 81 camas de terapia intensiva,2021-05-04,,La ocupación crece día a día
32,Batalla campal en un Kansas de Vicente López: clientes y mozos a las piñas ,2021-05-04,,El video de la pelea
33,El City fue más que el PSG y es finalista de la Champions League,2021-05-05,,Los de Guardiola vencieron 2-0 y enfrentarán al vencedor de Chelsea-Real Madrid
34,Fiesta sin protocolos en la casa de Messi y polémica en España,2021-05-05,,LaLiga le abrió un expediente a los jugadores de Barcelona
35,Mourinho encontró club: se va a la Roma de Italia,2021-05-05,,El portugués vuelve a la Serie A tras su salida de Tottenham
36,Boca perdió ante Barcelona en Guayaquil,2021-05-05,,Se enfrentaron por la tercera fecha del Grupo C de la Copa Libertadores
37,El récord de robos y las asistencias de Campazzo no alcanzaron con los Lakers,2021-05-05,,Denver Nuggets perdió ante el equipo de Los Angeles
38,Copa Libertadores: Vélez se trajo una gran victoria desde Chile,2021-05-05,,El equipo de Pellegrino se impuso a Unión La Calera por el Grupo G
39,El campeón Palmeiras se aprovechó de Defensa y Justicia,2021-05-05,,Le ganó al equipo de Varela que tuvo varias ausencias por el covid
40,"Sapir Berman, la primera árbitra trans del fútbol",2021-05-05,,La israelí hizo historia al dirigir un partido de la liga de su país
41,Guido Pella abandonó por lesión en el Abierto de Madrid,2021-05-05,,Este miércoles debuta Schwartzman y vuelve a jugar el sorprendente Delbonis
42,River no viajó a Colombia y jugará el jueves por la Libertadores,2021-05-05,,Enfrentará a Independiente Santa Fe en Asunción de Paraguay
43,"Quilmes: Omar ""Indio"" Gómez, otra víctima fatal del coronavirus",2021-05-05,,Tenía 66 años y estuvo varios días internado en  el Hospital El Cruce de Florencio Varela
